Date;Départ;Arrivée;Nombre de trains programmés;Nombre de trains ayant circulé;Nombre de trains annulés;Nombre de trains en retard à l'arrivée;Taux de régularité;Nombre de trains à l'heure pour un train en retard à l'arrivée
2026-05;LYON;NANTES;73;72;1;28;61.111111111111114;1.5714285714285714
2026-05;MARSEILLE-ST-CHARLES;BORDEAUX-ST-JEAN;165;162;3;65;59.876543209876544;1.4923076923076923
2026-05;PARIS-AUSTERLITZ;TOULOUSE-MATABIAU;66;66;0;8;87.87878787878788;7.25
2026-05;LYON;NANCY;52;52;0;6;88.46153846153845;7.666666666666667
2026-05;PARIS-AUSTERLITZ;RODEZ/ALBI;24;24;0;1;95.83333333333334;23.0
2026-05;PARIS-AUSTERLITZ;CERBERE;11;11;0;1;90.9090909090909;10.0
2026-05;HENDAYE;TOULOUSE-MATABIAU;89;88;1;16;81.81818181818183;4.5
2026-05;TOULOUSE-MATABIAU;PARIS-AUSTERLITZ;67;67;0;9;86.56716417910447;6.444444444444445
2026-05;PARIS-AUSTERLITZ;AURILLAC;24;24;0;2;91.66666666666666;11.0
2026-05;AURILLAC;PARIS-AUSTERLITZ;24;24;0;6;75.0;3.0
2026-05;NICE-VILLE;PARIS-AUSTERLITZ;22;21;1;10;52.38095238095239;1.1
2026-05;PARIS-BERCY;CLERMONT-FERRAND;214;213;1;31;85.44600938967136;5.870967741935484
2026-05;NANTES;LYON;74;73;1;22;69.86301369863014;2.3181818181818183
2026-05;BORDEAUX-ST-JEAN;NANTES;124;124;0;9;92.74193548387096;12.777777777777779
2026-05;TOULOUSE-MATABIAU;HENDAYE;81;80;1;8;90.0;9.0
2026-05;NANCY;LYON;52;52;0;2;96.15384615384616;25.0
2026-05;TARBES;PARIS-AUSTERLITZ;10;10;0;0;100.0;0.0
2026-05;BRIANÇON;PARIS-AUSTERLITZ;18;18;0;7;61.111111111111114;1.5714285714285714
2026-05;BÉZIERS;CLERMONT-FERRAND;31;31;0;4;87.09677419354838;6.75
2026-05;CLERMONT-FERRAND;BÉZIERS;31;31;0;1;96.7741935483871;30.0
2026-05;BORDEAUX-ST-JEAN;MARSEILLE-ST-CHARLES;166;164;2;66;59.756097560975604;1.4848484848484849
2026-05;CAHORS/BRIVE;PARIS-AUSTERLITZ;165;163;2;28;82.82208588957054;4.821428571428571
2026-05;PARIS-AUSTERLITZ;TOULOUSE-MATABIAU;24;24;0;3;87.5;7.0
2026-05;ALBI/RODEZ;PARIS-AUSTERLITZ;24;24;0;8;66.66666666666666;2.0
2026-05;CERBERE;PARIS-AUSTERLITZ;11;11;0;2;81.81818181818183;4.5
2026-05;PARIS-AUSTERLITZ;BRIANÇON;18;18;0;5;72.22222222222221;2.6
2026-05;CLERMONT-FERRAND;PARIS-BERCY;215;214;1;28;86.91588785046729;6.642857142857143
2026-05;NANTES;BORDEAUX-ST-JEAN;124;123;1;29;76.42276422764228;3.2413793103448274
2026-05;PARIS-AUSTERLITZ;BRIVE/CAHORS;155;155;0;20;87.09677419354838;6.75
2026-05;TOULOUSE-MATABIAU;PARIS-AUSTERLITZ;24;24;0;0;100.0;0.0
2026-05;PARIS-AUSTERLITZ;TARBES;11;11;0;5;54.54545454545454;1.2
2026-05;PARIS-AUSTERLITZ;LATOUR-DE-CAROL;0;0;0;0;0.0;0.0
2026-05;LATOUR-DE-CAROL;PARIS-AUSTERLITZ;0;0;0;0;0.0;0.0
2026-05;PARIS-AUSTERLITZ;NICE-VILLE;22;22;0;8;63.63636363636363;1.75
2026-04;PARIS-BERCY;CLERMONT-FERRAND;217;216;1;14;93.51851851851852;14.428571428571429
2026-04;CAHORS/BRIVE;PARIS-AUSTERLITZ;188;188;0;32;82.97872340425532;4.875
2026-04;TOULOUSE-MATABIAU;PARIS-AUSTERLITZ;85;85;0;18;78.82352941176471;3.7222222222222223
2026-04;ALBI/RODEZ;PARIS-AUSTERLITZ;30;30;0;8;73.33333333333333;2.75
2026-04;TARBES;PARIS-AUSTERLITZ;29;27;2;5;81.48148148148148;4.4
2026-04;CLERMONT-FERRAND;BÉZIERS;30;30;0;4;86.66666666666667;6.5
2026-04;PARIS-AUSTERLITZ;BRIVE/CAHORS;183;183;0;16;91.2568306010929;10.4375
2026-04;NANCY;LYON;28;28;0;2;92.85714285714286;13.0
2026-04;TOULOUSE-MATABIAU;PARIS-AUSTERLITZ;28;28;0;2;92.85714285714286;13.0
2026-04;LATOUR-DE-CAROL;PARIS-AUSTERLITZ;0;0;0;0;0.0;0.0
2026-04;LYON;NANTES;86;86;0;22;74.4186046511628;2.909090909090909
2026-04;NANTES;LYON;86;86;0;17;80.23255813953489;4.0588235294117645
2026-04;NANTES;BORDEAUX-ST-JEAN;120;118;2;20;83.05084745762711;4.9
2026-04;BORDEAUX-ST-JEAN;MARSEILLE-ST-CHARLES;206;203;3;83;59.11330049261084;1.4457831325301205
2026-04;MARSEILLE-ST-CHARLES;BORDEAUX-ST-JEAN;206;205;1;72;64.8780487804878;1.8472222222222223
2026-04;PARIS-AUSTERLITZ;TOULOUSE-MATABIAU;28;28;0;3;89.28571428571429;8.333333333333334
2026-04;PARIS-AUSTERLITZ;TARBES;29;28;1;3;89.28571428571429;8.333333333333334
2026-04;PARIS-AUSTERLITZ;LATOUR-DE-CAROL;0;0;0;0;0.0;0.0
2026-04;BORDEAUX-ST-JEAN;NANTES;119;118;1;13;88.98305084745762;8.076923076923077
2026-04;TOULOUSE-MATABIAU;HENDAYE;117;110;7;7;93.63636363636364;14.714285714285714
2026-04;PARIS-AUSTERLITZ;TOULOUSE-MATABIAU;85;85;0;14;83.52941176470588;5.071428571428571
2026-04;CLERMONT-FERRAND;PARIS-BERCY;217;216;1;20;90.74074074074076;9.8
2026-04;BÉZIERS;CLERMONT-FERRAND;30;29;1;1;96.55172413793105;28.0
2026-04;HENDAYE;TOULOUSE-MATABIAU;117;113;4;12;89.38053097345133;8.416666666666666
2026-04;LYON;NANCY;29;29;0;5;82.75862068965517;4.8
2026-04;PARIS-AUSTERLITZ;RODEZ/ALBI;30;30;0;0;100.0;0.0
2026-04;PARIS-AUSTERLITZ;AURILLAC;30;30;0;1;96.66666666666669;29.0
2026-04;AURILLAC;PARIS-AUSTERLITZ;30;30;0;8;73.33333333333333;2.75
2026-04;PARIS-AUSTERLITZ;CERBERE;19;19;0;0;100.0;0.0
2026-04;CERBERE;PARIS-AUSTERLITZ;19;19;0;3;84.21052631578947;5.333333333333333
2026-04;PARIS-AUSTERLITZ;BRIANÇON;26;26;0;10;61.53846153846154;1.6
2026-04;BRIANÇON;PARIS-AUSTERLITZ;26;26;0;9;65.38461538461539;1.8888888888888888
2026-04;PARIS-AUSTERLITZ;NICE-VILLE;28;28;0;7;75.0;3.0
2026-04;NICE-VILLE;PARIS-AUSTERLITZ;28;28;0;9;67.85714285714286;2.111111111111111
2026-03;TOULOUSE-MATABIAU;PARIS-AUSTERLITZ;86;86;0;6;93.02325581395348;13.333333333333334
2026-03;PARIS-AUSTERLITZ;TOULOUSE-MATABIAU;30;30;0;2;93.33333333333331;14.0
2026-03;ALBI/RODEZ;PARIS-AUSTERLITZ;28;27;1;4;85.18518518518519;5.75
2026-03;TARBES;PARIS-AUSTERLITZ;16;16;0;1;93.75;15.0
2026-03;NICE-VILLE;PARIS-AUSTERLITZ;23;21;2;5;76.19047619047619;3.2
2026-03;PARIS-BERCY;CLERMONT-FERRAND;227;227;0;12;94.7136563876652;17.916666666666668
2026-03;LYON;NANTES;90;90;0;16;82.22222222222221;4.625
2026-03;BORDEAUX-ST-JEAN;NANTES;124;124;0;6;95.16129032258064;19.666666666666668
2026-03;NANCY;LYON;28;28;0;2;92.85714285714286;13.0
2026-03;PARIS-AUSTERLITZ;TARBES;16;16;0;3;81.25;4.333333333333333
2026-03;BRIANÇON;PARIS-AUSTERLITZ;11;11;0;0;100.0;0.0
2026-03;HENDAYE;TOULOUSE-MATABIAU;124;121;3;14;88.42975206611571;7.642857142857143
2026-03;BORDEAUX-ST-JEAN;MARSEILLE-ST-CHARLES;195;194;1;50;74.22680412371135;2.88
2026-03;PARIS-AUSTERLITZ;TOULOUSE-MATABIAU;87;87;0;5;94.2528735632184;16.4
2026-03;PARIS-AUSTERLITZ;RODEZ/ALBI;30;27;3;2;92.5925925925926;12.5
2026-03;LATOUR-DE-CAROL;PARIS-AUSTERLITZ;0;0;0;0;0.0;0.0
2026-03;PARIS-AUSTERLITZ;CERBERE;10;10;0;0;100.0;0.0
2026-03;CLERMONT-FERRAND;PARIS-BERCY;230;229;1;24;89.51965065502183;8.541666666666666
2026-03;CLERMONT-FERRAND;BÉZIERS;31;31;0;0;100.0;0.0
2026-03;NANTES;LYON;91;91;0;18;80.21978021978022;4.055555555555555
2026-03;NANTES;BORDEAUX-ST-JEAN;124;124;0;19;84.67741935483872;5.526315789473684
2026-03;MARSEILLE-ST-CHARLES;BORDEAUX-ST-JEAN;194;192;2;62;67.70833333333334;2.096774193548387
2026-03;CAHORS/BRIVE;PARIS-AUSTERLITZ;187;186;1;13;93.01075268817203;13.307692307692308
2026-03;LYON;NANCY;28;28;0;3;89.28571428571429;8.333333333333334
2026-03;AURILLAC;PARIS-AUSTERLITZ;26;26;0;4;84.61538461538461;5.5
2026-03;CERBERE;PARIS-AUSTERLITZ;10;10;0;0;100.0;0.0
2026-03;PARIS-AUSTERLITZ;BRIANÇON;11;11;0;5;54.54545454545454;1.2
2026-03;BÉZIERS;CLERMONT-FERRAND;31;31;0;1;96.7741935483871;30.0
2026-03;TOULOUSE-MATABIAU;HENDAYE;124;124;0;5;95.96774193548389;23.8
2026-03;PARIS-AUSTERLITZ;BRIVE/CAHORS;177;177;0;7;96.045197740113;24.285714285714285
2026-03;TOULOUSE-MATABIAU;PARIS-AUSTERLITZ;30;30;0;1;96.66666666666669;29.0
2026-03;PARIS-AUSTERLITZ;AURILLAC;30;23;7;0;100.0;0.0
2026-03;PARIS-AUSTERLITZ;LATOUR-DE-CAROL;0;0;0;0;0.0;0.0
2026-03;PARIS-AUSTERLITZ;NICE-VILLE;23;22;1;6;72.72727272727273;2.6666666666666665
2026-02;CLERMONT-FERRAND;BÉZIERS;28;27;1;1;96.29629629629628;26.0
2026-02;TOULOUSE-MATABIAU;PARIS-AUSTERLITZ;70;68;2;24;64.70588235294117;1.8333333333333333
2026-02;LYON;NANCY;28;28;0;2;92.85714285714286;13.0
2026-02;PARIS-AUSTERLITZ;CERBERE;14;13;1;4;69.23076923076923;2.25
2026-02;NANTES;LYON;74;73;1;23;68.4931506849315;2.1739130434782608
2026-02;BORDEAUX-ST-JEAN;NANTES;108;106;2;8;92.45283018867924;12.25
2026-02;HENDAYE;TOULOUSE-MATABIAU;104;95;9;21;77.89473684210526;3.523809523809524
2026-02;TOULOUSE-MATABIAU;HENDAYE;95;87;8;14;83.9080459770115;5.214285714285714
2026-02;BORDEAUX-ST-JEAN;MARSEILLE-ST-CHARLES;198;179;19;68;62.01117318435754;1.6323529411764706
2026-02;PARIS-AUSTERLITZ;BRIVE/CAHORS;144;138;6;46;66.66666666666666;2.0
2026-02;NANCY;LYON;28;28;0;6;78.57142857142857;3.6666666666666665
2026-02;PARIS-AUSTERLITZ;TOULOUSE-MATABIAU;28;25;3;2;92.0;11.5
2026-02;TARBES;PARIS-AUSTERLITZ;20;15;5;1;93.33333333333331;14.0
2026-02;CAHORS/BRIVE;PARIS-AUSTERLITZ;154;151;3;49;67.54966887417218;2.0816326530612246
2026-02;PARIS-AUSTERLITZ;TOULOUSE-MATABIAU;75;74;1;22;70.27027027027027;2.363636363636364
2026-02;TOULOUSE-MATABIAU;PARIS-AUSTERLITZ;28;25;3;2;92.0;11.5
2026-02;PARIS-AUSTERLITZ;RODEZ/ALBI;25;20;5;2;90.0;9.0
2026-02;ALBI/RODEZ;PARIS-AUSTERLITZ;24;20;4;8;60.0;1.5
2026-02;PARIS-AUSTERLITZ;AURILLAC;24;18;6;0;100.0;0.0
2026-02;LATOUR-DE-CAROL;PARIS-AUSTERLITZ;4;4;0;1;75.0;3.0
2026-02;PARIS-AUSTERLITZ;BRIANÇON;27;26;1;11;57.692307692307686;1.3636363636363635
2026-02;NICE-VILLE;PARIS-AUSTERLITZ;28;28;0;8;71.42857142857143;2.5
2026-02;BÉZIERS;CLERMONT-FERRAND;28;27;1;1;96.29629629629628;26.0
2026-02;PARIS-AUSTERLITZ;TARBES;20;15;5;4;73.33333333333333;2.75
2026-02;CERBERE;PARIS-AUSTERLITZ;14;13;1;3;76.92307692307693;3.333333333333333
2026-02;PARIS-AUSTERLITZ;NICE-VILLE;28;28;0;10;64.28571428571429;1.8
2026-02;CLERMONT-FERRAND;PARIS-BERCY;201;200;1;39;80.5;4.128205128205129
2026-02;PARIS-BERCY;CLERMONT-FERRAND;202;202;0;18;91.0891089108911;10.22222222222222
2026-02;LYON;NANTES;74;74;0;29;60.810810810810814;1.5517241379310345
2026-02;NANTES;BORDEAUX-ST-JEAN;108;106;2;19;82.0754716981132;4.578947368421052
2026-02;MARSEILLE-ST-CHARLES;BORDEAUX-ST-JEAN;198;180;18;82;54.44444444444444;1.195121951219512
2026-02;AURILLAC;PARIS-AUSTERLITZ;24;19;5;7;63.1578947368421;1.7142857142857142
2026-02;PARIS-AUSTERLITZ;LATOUR-DE-CAROL;3;3;0;0;100.0;0.0
2026-02;BRIANÇON;PARIS-AUSTERLITZ;27;25;2;5;80.0;4.0
2026-01;PARIS-AUSTERLITZ;BRIVE/CAHORS;134;129;5;30;76.74418604651163;3.3
2026-01;LATOUR-DE-CAROL;PARIS-AUSTERLITZ;6;6;0;1;83.33333333333334;5.0
2026-01;NICE-VILLE;PARIS-AUSTERLITZ;23;20;3;8;60.0;1.5
2026-01;TOULOUSE-MATABIAU;HENDAYE;115;114;1;16;85.96491228070175;6.125
2026-01;MARSEILLE-ST-CHARLES;BORDEAUX-ST-JEAN;197;191;6;62;67.5392670157068;2.0806451612903225
2026-01;PARIS-AUSTERLITZ;TOULOUSE-MATABIAU;69;69;0;17;75.36231884057972;3.0588235294117645
2026-01;TOULOUSE-MATABIAU;PARIS-AUSTERLITZ;49;49;0;12;75.51020408163265;3.083333333333333
2026-01;NANCY;LYON;31;31;0;5;83.87096774193549;5.2
2026-01;PARIS-AUSTERLITZ;RODEZ/ALBI;29;25;4;1;96.0;24.0
2026-01;BÉZIERS;CLERMONT-FERRAND;31;31;0;2;93.5483870967742;14.5
2026-01;ALBI/RODEZ;PARIS-AUSTERLITZ;27;25;2;6;76.0;3.1666666666666665
2026-01;PARIS-AUSTERLITZ;NICE-VILLE;23;22;1;6;72.72727272727273;2.6666666666666665
2026-01;CLERMONT-FERRAND;BÉZIERS;31;31;0;5;83.87096774193549;5.2
2026-01;BORDEAUX-ST-JEAN;NANTES;110;104;6;16;84.61538461538461;5.5
2026-01;NANTES;BORDEAUX-ST-JEAN;111;104;7;19;81.73076923076923;4.473684210526316
2026-01;BORDEAUX-ST-JEAN;MARSEILLE-ST-CHARLES;200;192;8;64;66.66666666666666;2.0
2026-01;CAHORS/BRIVE;PARIS-AUSTERLITZ;165;162;3;31;80.8641975308642;4.225806451612903
2026-01;TOULOUSE-MATABIAU;PARIS-AUSTERLITZ;28;26;2;3;88.46153846153845;7.666666666666667
2026-01;PARIS-AUSTERLITZ;AURILLAC;29;27;2;6;77.77777777777779;3.5
2026-01;AURILLAC;PARIS-AUSTERLITZ;26;25;1;4;84.0;5.25
2026-01;PARIS-AUSTERLITZ;TARBES;6;5;1;3;40.0;0.6666666666666666
2026-01;PARIS-AUSTERLITZ;CERBERE;9;8;1;0;100.0;0.0
2026-01;BRIANÇON;PARIS-AUSTERLITZ;26;25;1;6;76.0;3.1666666666666665
2026-01;CLERMONT-FERRAND;PARIS-BERCY;212;208;4;42;79.8076923076923;3.952380952380953
2026-01;PARIS-BERCY;CLERMONT-FERRAND;212;208;4;35;83.17307692307693;4.942857142857143
2026-01;LYON;NANTES;88;83;5;25;69.87951807228916;2.32
2026-01;NANTES;LYON;88;85;3;22;74.11764705882354;2.863636363636364
2026-01;HENDAYE;TOULOUSE-MATABIAU;115;114;1;33;71.05263157894737;2.4545454545454546
2026-01;LYON;NANCY;31;30;1;3;90.0;9.0
2026-01;PARIS-AUSTERLITZ;TOULOUSE-MATABIAU;28;27;1;3;88.88888888888889;8.0
2026-01;TARBES;PARIS-AUSTERLITZ;6;5;1;0;100.0;0.0
2026-01;PARIS-AUSTERLITZ;LATOUR-DE-CAROL;7;6;1;2;66.66666666666666;2.0
2026-01;CERBERE;PARIS-AUSTERLITZ;9;8;1;0;100.0;0.0
2026-01;PARIS-AUSTERLITZ;BRIANÇON;26;26;0;8;69.23076923076923;2.25
2025-12;NANTES;LYON;88;88;0;19;78.4090909090909;3.631578947368421
2025-12;BORDEAUX-ST-JEAN;MARSEILLE-ST-CHARLES;228;214;14;71;66.82242990654206;2.014084507042253
